Match Number,Round Number,Date,Location,Home Team,Away Team,Result
1,1,23/08/2024 18:30,Borussia-Park,Borussia Mönchengladbach,Leverkusen,2 - 3
3,1,24/08/2024 13:30,Mewa Arena,1. FSV Mainz 05,1. FC Union Berlin,1 - 1
5,1,24/08/2024 13:30,WWK Arena,FC Augsburg,SV Werder Bremen,2 - 2
6,1,24/08/2024 13:30,Europa-Park Stadion,SC Freiburg,Sttuttgart,3 - 1
7,1,24/08/2024 13:30,PreZero Arena,Hoffenheim,Holstein Kiel,3 - 2
9,1,24/08/2024 13:30,Red Bull Arena,Leipzig,VfL Bochum 1848,1 - 0
8,1,24/08/2024 16:30,Signal Iduna Park,Dortmund,Frankfurt,2 - 0
4,1,25/08/2024 13:30,Volkswagen Arena,VfL Wolfsburg,Bayern München,2 - 3
2,1,25/08/2024 15:30,Millerntor-Stadion,FC St. Pauli,1. Heidenheim,0 - 2
12,2,30/08/2024 18:30,An der Alten Försterei,1. FC Union Berlin,FC St. Pauli,1 - 0
10,2,31/08/2024 13:30,Holstein-Stadion,Holstein Kiel,VfL Wolfsburg,0 - 2
11,2,31/08/2024 13:30,Vonovia Ruhrstadion,VfL Bochum 1848,Borussia Mönchengladbach,0 - 2
13,2,31/08/2024 13:30,Weser-Stadion,SV Werder Bremen,Dortmund,0 - 0
15,2,31/08/2024 13:30,Deutsche Bank Park,Frankfurt,Hoffenheim,3 - 1
17,2,31/08/2024 13:30,MHPArena,Sttuttgart,1. FSV Mainz 05,3 - 3
18,2,31/08/2024 16:30,BayArena,Leverkusen,Leipzig,2 - 3
14,2,01/09/2024 13:30,Voith-Arena,1. Heidenheim,FC Augsburg,4 - 0
16,2,01/09/2024 15:30,Allianz Arena,Bayern München,SC Freiburg,2 - 0
26,3,13/09/2024 18:30,Signal Iduna Park,Dortmund,1. Heidenheim,4 - 2
20,3,14/09/2024 13:30,Borussia-Park,Borussia Mönchengladbach,Sttuttgart,1 - 3
22,3,14/09/2024 13:30,Volkswagen Arena,VfL Wolfsburg,Frankfurt,1 - 2
24,3,14/09/2024 13:30,Europa-Park Stadion,SC Freiburg,VfL Bochum 1848,2 - 1
25,3,14/09/2024 13:30,PreZero Arena,Hoffenheim,Leverkusen,1 - 4
27,3,14/09/2024 13:30,Red Bull Arena,Leipzig,1. FC Union Berlin,0 - 0
19,3,14/09/2024 16:30,Holstein-Stadion,Holstein Kiel,Bayern München,1 - 6
23,3,15/09/2024 13:30,WWK Arena,FC Augsburg,FC St. Pauli,3 - 1
21,3,15/09/2024 15:30,Mewa Arena,1. FSV Mainz 05,SV Werder Bremen,1 - 2
31,4,20/09/2024 18:30,WWK Arena,FC Augsburg,1. FSV Mainz 05,2 - 3
29,4,21/09/2024 13:30,Vonovia Ruhrstadion,VfL Bochum 1848,Holstein Kiel,2 - 2
30,4,21/09/2024 13:30,An der Alten Försterei,1. FC Union Berlin,Hoffenheim,2 - 1
32,4,21/09/2024 13:30,Weser-Stadion,SV Werder Bremen,Bayern München,0 - 5
33,4,21/09/2024 13:30,Voith-Arena,1. Heidenheim,SC Freiburg,0 - 3
34,4,21/09/2024 16:30,Deutsche Bank Park,Frankfurt,Borussia Mönchengladbach,2 - 0
36,4,22/09/2024 13:30,BayArena,Leverkusen,VfL Wolfsburg,4 - 3
35,4,22/09/2024 15:30,MHPArena,Sttuttgart,Dortmund,5 - 1
28,4,22/09/2024 17:30,Millerntor-Stadion,FC St. Pauli,Leipzig,0 - 0
43,5,27/09/2024 18:30,Signal Iduna Park,Dortmund,VfL Bochum 1848,4 - 2
38,5,28/09/2024 13:30,Borussia-Park,Borussia Mönchengladbach,1. FC Union Berlin,1 - 0
39,5,28/09/2024 13:30,Mewa Arena,1. FSV Mainz 05,1. Heidenheim,0 - 2
40,5,28/09/2024 13:30,Volkswagen Arena,VfL Wolfsburg,Sttuttgart,2 - 2
41,5,28/09/2024 13:30,Europa-Park Stadion,SC Freiburg,FC St. Pauli,0 - 3
44,5,28/09/2024 13:30,Red Bull Arena,Leipzig,FC Augsburg,4 - 0
45,5,28/09/2024 16:30,Allianz Arena,Bayern München,Leverkusen,1 - 1
37,5,29/09/2024 13:30,Holstein-Stadion,Holstein Kiel,Frankfurt,2 - 4
42,5,29/09/2024 15:30,PreZero Arena,Hoffenheim,SV Werder Bremen,3 - 4
49,6,04/10/2024 18:30,WWK Arena,FC Augsburg,Borussia Mönchengladbach,2 - 1
47,6,05/10/2024 13:30,Vonovia Ruhrstadion,VfL Bochum 1848,VfL Wolfsburg,1 - 3
48,6,05/10/2024 13:30,An der Alten Försterei,1. FC Union Berlin,Dortmund,2 - 1
50,6,05/10/2024 13:30,Weser-Stadion,SV Werder Bremen,SC Freiburg,0 - 1
54,6,05/10/2024 13:30,BayArena,Leverkusen,Holstein Kiel,2 - 2
46,6,05/10/2024 16:30,Millerntor-Stadion,FC St. Pauli,1. FSV Mainz 05,0 - 3
51,6,06/10/2024 13:30,Voith-Arena,1. Heidenheim,Leipzig,0 - 1
52,6,06/10/2024 15:30,Deutsche Bank Park,Frankfurt,Bayern München,3 - 3
53,6,06/10/2024 17:30,MHPArena,Sttuttgart,Hoffenheim,1 - 1
61,7,18/10/2024 18:30,Signal Iduna Park,Dortmund,FC St. Pauli,2 - 1
56,7,19/10/2024 13:30,Borussia-Park,Borussia Mönchengladbach,1. Heidenheim,3 - 2
57,7,19/10/2024 13:30,Mewa Arena,1. FSV Mainz 05,Leipzig,0 - 2
59,7,19/10/2024 13:30,Europa-Park Stadion,SC Freiburg,FC Augsburg,3 - 1
60,7,19/10/2024 13:30,PreZero Arena,Hoffenheim,VfL Bochum 1848,3 - 1
63,7,19/10/2024 13:30,BayArena,Leverkusen,Frankfurt,2 - 1
62,7,19/10/2024 16:30,Allianz Arena,Bayern München,Sttuttgart,4 - 0
55,7,20/10/2024 13:30,Holstein-Stadion,Holstein Kiel,1. FC Union Berlin,0 - 2
58,7,20/10/2024 15:30,Volkswagen Arena,VfL Wolfsburg,SV Werder Bremen,2 - 4
67,8,25/10/2024 18:30,Mewa Arena,1. FSV Mainz 05,Borussia Mönchengladbach,1 - 1
64,8,26/10/2024 13:30,Millerntor-Stadion,FC St. Pauli,VfL Wolfsburg,0 - 0
68,8,26/10/2024 13:30,WWK Arena,FC Augsburg,Dortmund,2 - 1
71,8,26/10/2024 13:30,Red Bull Arena,Leipzig,SC Freiburg,3 - 1
72,8,26/10/2024 13:30,MHPArena,Sttuttgart,Holstein Kiel,2 - 1
69,8,26/10/2024 16:30,Weser-Stadion,SV Werder Bremen,Leverkusen,2 - 2
65,8,27/10/2024 14:30,Vonovia Ruhrstadion,VfL Bochum 1848,Bayern München,0 - 5
66,8,27/10/2024 16:30,An der Alten Försterei,1. FC Union Berlin,Frankfurt,1 - 1
70,8,27/10/2024 18:30,Voith-Arena,1. Heidenheim,Hoffenheim,0 - 0
81,9,01/11/2024 19:30,BayArena,Leverkusen,Sttuttgart,0 - 0
73,9,02/11/2024 14:30,Holstein-Stadion,Holstein Kiel,1. Heidenheim,1 - 0
75,9,02/11/2024 14:30,Volkswagen Arena,VfL Wolfsburg,FC Augsburg,1 - 1
77,9,02/11/2024 14:30,PreZero Arena,Hoffenheim,FC St. Pauli,0 - 2
78,9,02/11/2024 14:30,Deutsche Bank Park,Frankfurt,VfL Bochum 1848,7 - 2
80,9,02/11/2024 14:30,Allianz Arena,Bayern München,1. FC Union Berlin,3 - 0
79,9,02/11/2024 17:30,Signal Iduna Park,Dortmund,Leipzig,2 - 1
76,9,03/11/2024 14:30,Europa-Park Stadion,SC Freiburg,1. FSV Mainz 05,0 - 0
74,9,03/11/2024 16:30,Borussia-Park,Borussia Mönchengladbach,SV Werder Bremen,4 - 1
84,10,08/11/2024 19:30,An der Alten Försterei,1. FC Union Berlin,SC Freiburg,0 - 0
82,10,09/11/2024 14:30,Millerntor-Stadion,FC St. Pauli,Bayern München,0 - 1
83,10,09/11/2024 14:30,Vonovia Ruhrstadion,VfL Bochum 1848,Leverkusen,1 - 1
85,10,09/11/2024 14:30,Mewa Arena,1. FSV Mainz 05,Dortmund,3 - 1
87,10,09/11/2024 14:30,Weser-Stadion,SV Werder Bremen,Holstein Kiel,2 - 1
89,10,09/11/2024 17:30,Red Bull Arena,Leipzig,Borussia Mönchengladbach,0 - 0
86,10,10/11/2024 14:30,WWK Arena,FC Augsburg,Hoffenheim,0 - 0
90,10,10/11/2024 16:30,MHPArena,Sttuttgart,Frankfurt,2 - 3
88,10,10/11/2024 18:30,Voith-Arena,1. Heidenheim,VfL Wolfsburg,1 - 3
97,11,22/11/2024 19:30,Allianz Arena,Bayern München,FC Augsburg,3 - 0
93,11,23/11/2024 14:30,Volkswagen Arena,VfL Wolfsburg,1. FC Union Berlin,1 - 0
94,11,23/11/2024 14:30,PreZero Arena,Hoffenheim,Leipzig,4 - 3
96,11,23/11/2024 14:30,Signal Iduna Park,Dortmund,SC Freiburg,4 - 0
98,11,23/11/2024 14:30,MHPArena,Sttuttgart,VfL Bochum 1848,2 - 0
99,11,23/11/2024 14:30,BayArena,Leverkusen,1. Heidenheim,5 - 2
95,11,23/11/2024 17:30,Deutsche Bank Park,Frankfurt,SV Werder Bremen,1 - 0
91,11,24/11/2024 14:30,Holstein-Stadion,Holstein Kiel,1. FSV Mainz 05,0 - 3
92,11,24/11/2024 16:30,Borussia-Park,Borussia Mönchengladbach,FC St. Pauli,2 - 0
100,12,29/11/2024 19:30,Millerntor-Stadion,FC St. Pauli,Holstein Kiel,3 - 1
101,12,30/11/2024 14:30,An der Alten Försterei,1. FC Union Berlin,Leverkusen,1 - 2
103,12,30/11/2024 14:30,WWK Arena,FC Augsburg,VfL Bochum 1848,1 - 0
104,12,30/11/2024 14:30,Europa-Park Stadion,SC Freiburg,Borussia Mönchengladbach,3 - 1
105,12,30/11/2024 14:30,Weser-Stadion,SV Werder Bremen,Sttuttgart,2 - 2
108,12,30/11/2024 14:30,Red Bull Arena,Leipzig,VfL Wolfsburg,1 - 5
107,12,30/11/2024 17:30,Signal Iduna Park,Dortmund,Bayern München,1 - 1
102,12,01/12/2024 14:30,Mewa Arena,1. FSV Mainz 05,Hoffenheim,2 - 0
106,12,01/12/2024 16:30,Voith-Arena,1. Heidenheim,Frankfurt,0 - 4
116,13,06/12/2024 19:30,MHPArena,Sttuttgart,1. FC Union Berlin,3 - 2
109,13,07/12/2024 14:30,Holstein-Stadion,Holstein Kiel,Leipzig,0 - 2
110,13,07/12/2024 14:30,Vonovia Ruhrstadion,VfL Bochum 1848,SV Werder Bremen,0 - 1
114,13,07/12/2024 14:30,Deutsche Bank Park,Frankfurt,FC Augsburg,2 - 2
115,13,07/12/2024 14:30,Allianz Arena,Bayern München,1. Heidenheim,4 - 2
117,13,07/12/2024 14:30,BayArena,Leverkusen,FC St. Pauli,2 - 1
111,13,07/12/2024 17:30,Borussia-Park,Borussia Mönchengladbach,Dortmund,1 - 1
112,13,08/12/2024 14:30,Volkswagen Arena,VfL Wolfsburg,1. FSV Mainz 05,4 - 3
113,13,08/12/2024 16:30,PreZero Arena,Hoffenheim,SC Freiburg,1 - 1
123,14,13/12/2024 19:30,Europa-Park Stadion,SC Freiburg,VfL Wolfsburg,3 - 2
119,14,14/12/2024 14:30,An der Alten Försterei,1. FC Union Berlin,VfL Bochum 1848,1 - 1
120,14,14/12/2024 14:30,Borussia-Park,Borussia Mönchengladbach,Holstein Kiel,4 - 1
121,14,14/12/2024 14:30,Mewa Arena,1. FSV Mainz 05,Bayern München,2 - 1
122,14,14/12/2024 14:30,WWK Arena,FC Augsburg,Leverkusen,0 - 2
118,14,14/12/2024 17:30,Millerntor-Stadion,FC St. Pauli,SV Werder Bremen,0 - 2
124,14,15/12/2024 14:30,Voith-Arena,1. Heidenheim,Sttuttgart,1 - 3
125,14,15/12/2024 16:30,Signal Iduna Park,Dortmund,Hoffenheim,1 - 1
126,14,15/12/2024 18:30,Red Bull Arena,Leipzig,Frankfurt,2 - 1
