Match Number,Round Number,Date,Location,Home Team,Away Team,Result
6,1,09/08/2024 20:00,Euroborg,FC Groningen,NAC Breda,4 - 1
2,1,10/08/2024 16:30,De Kuip,Feyenoord,Willem II,1 - 1
7,1,10/08/2024 18:45,Goffertstadion,N.E.C. Nijmegen,FC Twente,1 - 2
5,1,10/08/2024 20:00,Yanmar Stadion,Almere City FC,AZ,0 - 1
1,1,10/08/2024 21:00,Philips Stadion,PSV,RKC Waalwijk,5 - 1
9,1,11/08/2024 12:15,Het Kasteel,Sparta Rotterdam,Heracles Almelo,0 - 0
3,1,11/08/2024 14:30,De Adelaarshorst,Go Ahead Eagles,Fortuna Sittard,0 - 2
4,1,11/08/2024 14:30,Stadion Galgenwaard,FC Utrecht,PEC Zwolle,1 - 0
8,1,11/08/2024 16:45,Johan Cruyff Arena,Ajax,sc Heerenveen,1 - 0
14,2,16/08/2024 20:00,Fortuna Sittard Stadion,Fortuna Sittard,Almere City FC,3 - 0
13,2,17/08/2024 16:30,Abe Lenstra Stadion,sc Heerenveen,FC Utrecht,1 - 1
18,2,17/08/2024 18:45,De Grolsch Veste,FC Twente,Sparta Rotterdam,1 - 1
11,2,17/08/2024 20:00,AFAS Stadion,AZ,N.E.C. Nijmegen,1 - 0
16,2,17/08/2024 21:00,Mandemakers Stadion,RKC Waalwijk,FC Groningen,1 - 2
15,2,18/08/2024 12:15,Erve Asito,Heracles Almelo,PSV,1 - 3
10,2,18/08/2024 14:30,MAC³PARK Stadion,PEC Zwolle,Feyenoord,1 - 5
17,2,18/08/2024 14:30,Koning Willem II Stadion,Willem II,Go Ahead Eagles,2 - 0
12,2,18/08/2024 16:45,Rat Verlegh Stadion,NAC Breda,Ajax,2 - 1
20,3,24/08/2024 18:45,Goffertstadion,N.E.C. Nijmegen,PEC Zwolle,1 - 0
19,3,24/08/2024 20:00,Yanmar Stadion,Almere City FC,PSV,1 - 7
24,3,24/08/2024 21:00,Rat Verlegh Stadion,NAC Breda,FC Utrecht,1 - 2
27,3,25/08/2024 12:15,Euroborg,FC Groningen,AZ,0 - 0
23,3,25/08/2024 14:30,Het Kasteel,Sparta Rotterdam,Feyenoord,1 - 1
26,3,25/08/2024 14:30,Erve Asito,Heracles Almelo,Willem II,1 - 1
25,3,25/08/2024 16:45,De Adelaarshorst,Go Ahead Eagles,RKC Waalwijk,2 - 0
22,3,17/09/2024 20:00,De Grolsch Veste,FC Twente,sc Heerenveen,2 - 0
