Match Number,Round Number,Date,Location,Home Team,Away Team,Result
4,1,16/08/2024 18:45,Stade Océane,Havre Athletic Club,PSG,1 - 4
3,1,17/08/2024 15:00,Stade Francis-Le Blé,Brest,Olympique de Marseille,1 - 5
7,1,17/08/2024 17:00,Stade Auguste Delaune,Stade DE Reims,Lille,0 - 2
5,1,17/08/2024 19:00,Stade Louis II,Monaco,AS Saint-Étienne,1 - 0
2,1,18/08/2024 13:00,Stade de l'Abbé-Deschamps,AJ Auxerre,Nice,2 - 1
1,1,18/08/2024 15:00,Stade Raymond Kopa,Angers SCO,RC Lens,0 - 1
6,1,18/08/2024 15:00,Stade de la Mosson,Montpellier Hérault SC,RC Strasbourg Alsace,1 - 1
9,1,18/08/2024 15:00,Stadium Municipal,Toulouse FC,FC Nantes,0 - 0
8,1,18/08/2024 18:45,Roazhon Park,Stade Rennais FC,Lyon,3 - 0
16,2,23/08/2024 18:45,Parc des Princes,PSG,Montpellier Hérault SC,6 - 0
12,2,24/08/2024 17:00,Decathlon Arena Pierre Mauroy Stadium,Lille,Angers SCO,2 - 0
17,2,24/08/2024 19:00,Stade Geoffroy-Guichard,AS Saint-Étienne,Havre Athletic Club,0 - 2
13,2,24/08/2024 22:00,Groupama Stadium,Lyon,Monaco,0 - 2
11,2,25/08/2024 13:00,Stade Bollaert-Delelis,RC Lens,Brest,2 - 0
14,2,25/08/2024 15:00,Stade de la Beaujoire,FC Nantes,AJ Auxerre,2 - 0
15,2,25/08/2024 15:00,Allianz Riviera,Nice,Toulouse FC,1 - 1
18,2,25/08/2024 15:00,Stade de la Meinau,RC Strasbourg Alsace,Stade Rennais FC,3 - 1
10,2,25/08/2024 18:45,Orange Vélodrome,Olympique de Marseille,Stade DE Reims,2 - 2
23,3,30/08/2024 18:45,Groupama Stadium,Lyon,RC Strasbourg Alsace,4 - 3
20,3,31/08/2024 15:00,Stade Francis-Le Blé,Brest,AS Saint-Étienne,4 - 0
25,3,31/08/2024 17:00,Stade de la Mosson,Montpellier Hérault SC,FC Nantes,1 - 3
27,3,31/08/2024 19:00,Stadium Municipal,Toulouse FC,Olympique de Marseille,1 - 3
24,3,01/09/2024 13:00,Stade Louis II,Monaco,RC Lens,1 - 1
19,3,01/09/2024 15:00,Stade Raymond Kopa,Angers SCO,Nice,1 - 4
