Match Number,Round Number,Date,Location,Home Team,Away Team,Result
5,1,09/08/2024 21:00,Rams Park,Galatasaray,Hatayspor,2 - 1
4,1,10/08/2024 19:15,Recep Tayyip Erdogan Stadium,Kasimpasa,Konyaspor,2 - 3
2,1,10/08/2024 21:45,Ülker Stadium,Fenerbahçe,Adana Demirspor,1 - 0
7,1,10/08/2024 21:45,Corendon Airlines Park,Antalyaspor,Göztepe,0 - 0
1,1,11/08/2024 19:15,New Sivas 4 Eylül Stadium,Sivasspor,Trabzonspor,0 - 0
6,1,11/08/2024 21:45,Alanya Oba Stadium,Alanyaspor,Eyüpspor,1 - 1
8,1,11/08/2024 21:45,Samsun 19 Mayis Stadium,Samsunspor,Besiktas,0 - 2
3,1,12/08/2024 21:00,Rize City Stadium,Çaykur Rizespor,Istanbul Basaksehir,1 - 1
9,1,12/08/2024 21:00,Bodrum District Stadium,Bodrum,Gaziantep,0 - 1
15,2,16/08/2024 21:00,Konya Metropolitan Municipality Stadium,Konyaspor,Galatasaray,1 - 2
12,2,17/08/2024 19:15,RHG Enertürk Enerji Stadium,Kayserispor,Sivasspor,1 - 2
10,2,17/08/2024 21:45,New Adana Stadium,Adana Demirspor,Çaykur Rizespor,1 - 2
17,2,17/08/2024 21:45,Gürsel Aksel Stadium,Göztepe,Fenerbahçe,2 - 2
18,2,18/08/2024 19:15,Basaksehir Fatih Terim Stadium,Istanbul Basaksehir,Alanyaspor,4 - 2
14,2,18/08/2024 21:45,Besiktas Park,Besiktas,Antalyaspor,4 - 2
16,2,18/08/2024 21:45,Kalyon Stadium,Gaziantep,Samsunspor,0 - 1
11,2,19/08/2024 21:00,Mersin Stadium,Hatayspor,Kasimpasa,1 - 1
13,2,19/08/2024 21:00,Recep Tayyip Erdogan Stadium,Eyüpspor,Bodrum,4 - 1
24,3,23/08/2024 21:00,Alanya Oba Stadium,Alanyaspor,Göztepe,1 - 1
19,3,24/08/2024 19:15,New Sivas 4 Eylül Stadium,Sivasspor,Eyüpspor,0 - 1
27,3,24/08/2024 21:45,Bodrum District Stadium,Bodrum,Konyaspor,3 - 1
22,3,25/08/2024 19:15,Recep Tayyip Erdogan Stadium,Kasimpasa,Adana Demirspor,2 - 2
21,3,25/08/2024 21:45,Rize City Stadium,Çaykur Rizespor,Fenerbahçe,0 - 5
25,3,25/08/2024 21:45,Corendon Airlines Park,Antalyaspor,Hatayspor,3 - 2
23,3,17/09/2024 20:00,Rams Park,Galatasaray,Gaziantep,3 - 1
26,3,18/09/2024 20:00,Samsun 19 Mayis Stadium,Samsunspor,Istanbul Basaksehir,2 - 0
20,3,19/09/2024 20:00,Papara Park,Trabzonspor,Kayserispor,2 - 2
29,4,30/08/2024 21:00,Ülker Stadium,Fenerbahçe,Alanyaspor,3 - 0
30,4,31/08/2024 19:15,Rize City Stadium,Çaykur Rizespor,Kasimpasa,0 - 1
