Match Number,Round Number,Date,Location,Home Team,Away Team,Result
1,1,02/10/2024 14:30,Basaksehir Fatih Terim,Basaksehir,SK Rapid,1 - 2
2,1,02/10/2024 14:30,Estádio D. Afonso Henriques,Vitória SC,Celje,3 - 1
3,1,03/10/2024 16:45,Molde Stadion,Molde,Larne,3 - 0
4,1,03/10/2024 16:45,The Marshall Józef Pilsudski's Municipal Stadium o,Legia Warszawa,Real Betis,1 - 0
5,1,03/10/2024 16:45,FCH Arena Heidenheim,Heidenheim,Olimpija,2 - 1
6,1,03/10/2024 16:45,GSP,Omonoia,Víkingur R.,4 - 0
7,1,03/10/2024 16:45,Almaty Ortalyk Stadion,Astana,TSC,1 - 0
8,1,03/10/2024 16:45,Jan Breydelstadion,Cercle Brugge,St. Gallen,6 - 2
9,1,03/10/2024 16:45,Mehdi Huseynzade Stadium,Dinamo-Minsk,Hearts,1 - 2
10,1,03/10/2024 16:45,Republican Stadium after Vazgen Sargsyan,Noah,Mladá Boleslav,2 - 0
11,1,03/10/2024 19:00,Stamford Bridge,Chelsea,Gent,4 - 2
12,1,03/10/2024 19:00,Parken,Copenhagen,Jagiellonia,1 - 2
13,1,03/10/2024 19:00,Stadio Artemio Franchi,Fiorentina,The New Saints,2 - 0
14,1,03/10/2024 19:00,Oberösterreich Arena,LASK,Djurgården,2 - 2
15,1,03/10/2024 19:00,Tallaght Stadium,Shamrock Rovers,APOEL,1 - 1
16,1,03/10/2024 19:00,Arena Thun,Lugano,HJK,3 - 0
17,1,03/10/2024 19:00,Stadionul Zimbru,Petrocub,Pafos,1 - 4
18,1,03/10/2024 19:00,Gradski Stadion Banja Luka,Borac,Panathinaikos,1 - 1
36,2,24/10/2024 14:30,Kópavogsvöllur,Víkingur R.,Cercle Brugge,3 - 1
19,2,24/10/2024 16:45,KAA Gent Arena,Gent,Molde,2 - 1
20,2,24/10/2024 16:45,Stockholm Arena,Djurgården,Vitória SC,1 - 2
21,2,24/10/2024 16:45,GSP,APOEL,Borac,0 - 1
22,2,24/10/2024 16:45,Weststadion,SK Rapid,Noah,1 - 0
23,2,24/10/2024 16:45,Tynecastle Park,Hearts,Omonoia,2 - 0
24,2,24/10/2024 16:45,Arena St. Gallen,St. Gallen,Fiorentina,2 - 4
25,2,24/10/2024 16:45,Olympic Athletic Center of Athens,Panathinaikos,Chelsea,1 - 4
26,2,24/10/2024 16:45,Stadion Miejski w Bialymstoku,Jagiellonia,Petrocub,2 - 0
27,2,24/10/2024 16:45,Stadion Celje,Celje,Basaksehir,5 - 1
28,2,24/10/2024 16:45,Windsor Park,Larne,Shamrock Rovers,1 - 4
29,2,24/10/2024 19:00,Estadio Benito Villamarín,Real Betis,Copenhagen,1 - 1
30,2,24/10/2024 19:00,Helsinki Football Stadium,HJK,Dinamo-Minsk,1 - 0
31,2,24/10/2024 19:00,Stadion Stožice,Olimpija,LASK,2 - 0
32,2,24/10/2024 19:00,New Meadow,The New Saints,Astana,2 - 0
33,2,24/10/2024 19:00,City Stadium,Mladá Boleslav,Lugano,0 - 1
34,2,24/10/2024 19:00,TSC Arena,TSC,Legia Warszawa,0 - 3
35,2,24/10/2024 19:00,Limassol Stadium,Pafos,Heidenheim,0 - 1
44,3,07/11/2024 14:30,Kópavogsvöllur,Víkingur R.,Borac,2 - 0
37,3,07/11/2024 17:45,KAA Gent Arena,Gent,Omonoia,1 - 0
38,3,07/11/2024 17:45,The Marshall Józef Pilsudski's Municipal Stadium o,Legia Warszawa,Dinamo-Minsk,4 - 0
39,3,07/11/2024 17:45,Helsinki Football Stadium,HJK,Olimpija,0 - 2
40,3,07/11/2024 17:45,Tallaght Stadium,Shamrock Rovers,The New Saints,2 - 1
41,3,07/11/2024 17:45,Stadionul Zimbru,Petrocub,SK Rapid,0 - 3
42,3,07/11/2024 17:45,TSC Arena,TSC,Lugano,4 - 1
43,3,07/11/2024 17:45,Limassol Stadium,Pafos,Astana,1 - 0
45,3,07/11/2024 20:00,Stamford Bridge,Chelsea,Noah,8 - 0
46,3,07/11/2024 20:00,Parken,Copenhagen,Basaksehir,2 - 2
47,3,07/11/2024 20:00,Oberösterreich Arena,LASK,Cercle Brugge,0 - 0
48,3,07/11/2024 20:00,Estadio Benito Villamarín,Real Betis,Celje,2 - 1
49,3,07/11/2024 20:00,Stockholm Arena,Djurgården,Panathinaikos,2 - 1
50,3,07/11/2024 20:00,GSP,APOEL,Fiorentina,2 - 1
51,3,07/11/2024 20:00,Estádio D. Afonso Henriques,Vitória SC,Mladá Boleslav,2 - 1
52,3,07/11/2024 20:00,Tynecastle Park,Hearts,Heidenheim,0 - 2
53,3,07/11/2024 20:00,Stadion Miejski w Bialymstoku,Jagiellonia,Molde,3 - 0
54,3,07/11/2024 20:00,Windsor Park,Larne,St. Gallen,1 - 2
55,4,27/11/2024 15:30,Basaksehir Fatih Terim,Basaksehir,Petrocub,1 - 1
56,4,28/11/2024 15:30,Almaty Ortalyk Stadion,Astana,Vitória SC,1 - 1
57,4,28/11/2024 17:45,Molde Stadion,Molde,APOEL,0 - 1
