Round,Match,Home Team,Away Team,Home Goals,Away Goals,Home Elo Before,Away Elo Before,Home Elo After,Away Elo After
1,Galatasaray vs Hatayspor,Galatasaray,Hatayspor,2.0,1.0,1500.0,1500.0,1521.5961000118268,1478.4038999881732
1,Kasimpasa vs Konyaspor,Kasimpasa,Konyaspor,2.0,3.0,1500.0,1500.0,1461.5961000118268,1538.4038999881732
1,Fenerbahçe vs Adana Demirspor,Fenerbahçe,Adana Demirspor,1.0,0.0,1500.0,1500.0,1521.5961000118268,1478.4038999881732
1,Antalyaspor vs Göztepe,Antalyaspor,Göztepe,0.0,0.0,1500.0,1500.0,1488.444637516262,1511.555362483738
1,Sivasspor vs Trabzonspor,Sivasspor,Trabzonspor,0.0,0.0,1500.0,1500.0,1488.444637516262,1511.555362483738
1,Alanyaspor vs Eyüpspor,Alanyaspor,Eyüpspor,1.0,1.0,1500.0,1500.0,1488.444637516262,1511.555362483738
1,Samsunspor vs Besiktas,Samsunspor,Besiktas,0.0,2.0,1500.0,1500.0,1442.3941500177402,1557.6058499822598
1,Çaykur Rizespor vs Istanbul Basaksehir,Çaykur Rizespor,Istanbul Basaksehir,1.0,1.0,1500.0,1500.0,1488.444637516262,1511.555362483738
1,Bodrum vs Gaziantep,Bodrum,Gaziantep,0.0,1.0,1500.0,1500.0,1461.5961000118268,1538.4038999881732
2,Konyaspor vs Galatasaray,Konyaspor,Galatasaray,1.0,2.0,1538.4038999881732,1521.5961000118268,1498.6814823262632,1561.3185176737368
2,Kayserispor vs Sivasspor,Kayserispor,Sivasspor,1.0,2.0,1500.0,1488.444637516262,1460.6854478048901,1527.7591897113718
2,Adana Demirspor vs Çaykur Rizespor,Adana Demirspor,Çaykur Rizespor,1.0,2.0,1478.4038999881732,1488.444637516262,1440.8052468820913,1526.0432906223439
2,Göztepe vs Fenerbahçe,Göztepe,Fenerbahçe,2.0,2.0,1511.555362483738,1521.5961000118268,1501.1072144628754,1532.0442480326894
2,Istanbul Basaksehir vs Alanyaspor,Istanbul Basaksehir,Alanyaspor,4.0,2.0,1511.555362483738,1488.444637516262,1541.2454686953497,1458.7545313046503
2,Besiktas vs Antalyaspor,Besiktas,Antalyaspor,4.0,2.0,1557.6058499822598,1488.444637516262,1582.277519066237,1463.7729684322849
2,Gaziantep vs Samsunspor,Gaziantep,Samsunspor,0.0,1.0,1538.4038999881732,1442.3941500177402,1493.072145057773,1487.7259049481404
2,Hatayspor vs Kasimpasa,Hatayspor,Kasimpasa,1.0,1.0,1478.4038999881732,1461.5961000118268,1465.035575703047,1474.964424296953
2,Eyüpspor vs Bodrum,Eyüpspor,Bodrum,4.0,1.0,1511.555362483738,1461.5961000118268,1542.705074557161,1430.4463879384039
3,Alanyaspor vs Göztepe,Alanyaspor,Göztepe,1.0,1.0,1458.7545313046503,1501.1072144628754,1451.9723600699012,1507.8893856976242
3,Sivasspor vs Eyüpspor,Sivasspor,Eyüpspor,0.0,1.0,1527.7591897113718,1542.705074557161,1490.5583045385113,1579.9059597300216
3,Bodrum vs Konyaspor,Bodrum,Konyaspor,3.0,1.0,1430.4463879384039,1498.6814823262632,1471.3436094312883,1457.7842608333788
3,Kasimpasa vs Adana Demirspor,Kasimpasa,Adana Demirspor,2.0,2.0,1474.964424296953,1440.8052468820913,1459.783236690933,1455.9864344881112
3,Çaykur Rizespor vs Fenerbahçe,Çaykur Rizespor,Fenerbahçe,0.0,5.0,1526.0432906223439,1532.0442480326894,1450.1950429736685,1607.8924956813648
3,Antalyaspor vs Hatayspor,Antalyaspor,Hatayspor,3.0,2.0,1463.7729684322849,1465.035575703047,1485.4696373723937,1443.3389067629382
3,Galatasaray vs Gaziantep,Galatasaray,Gaziantep,3.0,1.0,1561.3185176737368,1493.072145057773,1586.0846089862391,1468.3060537452707
3,Samsunspor vs Istanbul Basaksehir,Samsunspor,Istanbul Basaksehir,2.0,0.0,1487.7259049481404,1541.2454686953497,1526.741399705818,1502.2299739376722
